X,Y,ID,W_GID
74.25077264,26.25198332,242,W_242
74.25077264,25.75198332,243,W_243
74.25077264,25.25198332,244,W_244
74.25077264,24.75198332,245,W_245
74.25077264,24.25198332,246,W_246
74.25077264,23.75198332,247,W_247
74.25077264,23.25198332,248,W_248
74.25077264,22.75198332,249,W_249
74.25077264,22.25198332,250,W_250
74.25077264,21.75198332,251,W_251
74.25077264,21.25198332,252,W_252
74.25077264,20.75198332,253,W_253
74.25077264,20.25198332,254,W_254
74.25077264,19.75198332,255,W_255
74.25077264,19.25198332,256,W_256
74.25077264,18.75198332,257,W_257
74.25077264,18.25198332,258,W_258
74.25077264,17.75198332,259,W_259
74.25077264,17.25198332,260,W_260
74.25077264,16.75198332,261,W_261
74.25077264,16.25198332,262,W_262
74.25077264,15.75198332,263,W_263
74.25077264,15.25198332,264,W_264
74.27759698,14.77649784,265,W_265
74.40208238,14.29372282,266,W_266
74.46007141,13.94016059,267,W_267
74.73628228,36.71439367,268,W_268
74.75077264,36.25198332,269,W_269
74.75077264,35.75198332,270,W_270
74.75077264,35.25198332,271,W_271
74.75077264,34.75198332,272,W_272
74.75077264,34.25198332,273,W_273
74.75077264,33.75198332,274,W_274
74.75077264,33.25198332,275,W_275
74.76485406,32.76069887,276,W_276
74.79786186,32.45133804,277,W_277
74.77202794,31.71325189,278,W_278
74.7588297,31.2537122,279,W_279
74.75307885,30.74937205,280,W_280
74.75077264,30.25198332,281,W_281
74.75077264,29.75198332,282,W_282
74.75077264,29.25198332,283,W_283
74.75077264,28.75198332,284,W_284
74.75077264,28.25198332,285,W_285
74.75077264,27.75198332,286,W_286
74.75077264,27.25198332,287,W_287
74.75077264,26.75198332,288,W_288
74.75077264,26.25198332,289,W_289
74.75077264,25.75198332,290,W_290
74.75077264,25.25198332,291,W_291
74.75077264,24.75198332,292,W_292
74.75077264,24.25198332,293,W_293
74.75077264,23.75198332,294,W_294
74.75077264,23.25198332,295,W_295
74.75077264,22.75198332,296,W_296
74.75077264,22.25198332,297,W_297
74.75077264,21.75198332,298,W_298
74.75077264,21.25198332,299,W_299
74.75077264,20.75198332,300,W_300
74.75077264,20.25198332,301,W_301
74.75077264,19.75198332,302,W_302
74.75077264,19.25198332,303,W_303
74.75077264,18.75198332,304,W_304
74.75077264,18.25198332,305,W_305
74.75077264,17.75198332,306,W_306
74.75077264,17.25198332,307,W_307
74.75077264,16.75198332,308,W_308
74.75077264,16.25198332,309,W_309
74.75077264,15.75198332,310,W_310
74.75077264,15.25198332,311,W_311
74.75077264,14.75198332,312,W_312
74.75077264,14.25198332,313,W_313
74.76426815,13.76036805,314,W_314
74.81158745,13.26310709,315,W_315
74.87193049,12.78157556,316,W_316
74.94896498,12.40156795,317,W_317
75.21962894,36.69543803,318,W_318
75.25077264,36.25198332,319,W_319
75.25077264,35.75198332,320,W_320
75.25077264,35.25198332,321,W_321
75.25077264,34.75198332,322,W_322
75.25077264,34.25198332,323,W_323
75.25077264,33.75198332,324,W_324
75.25077264,33.25198332,325,W_325
75.25077264,32.75198332,326,W_326
75.30755944,32.28162646,327,W_327
75.25109324,31.75162794,328,W_328
75.25077264,31.25198332,329,W_329
75.25077264,30.75198332,330,W_330
75.25077264,30.25198332,331,W_331
75.25077264,29.75198332,332,W_332
75.25077264,29.25198332,333,W_333
75.25077264,28.75198332,334,W_334
75.25077264,28.25198332,335,W_335
