WKT,pid,STATUS
"MULTIPOLYGON (((831633.785488833 1561175.85994781,831628.55949198 1561166.3952879,831623.665845289 1561168.54194732,831618.082914296 1561168.64440725,831607.866987307 1561170.82297953,831603.224188451 1561162.34753443,831601.372851731 1561156.05630873,831582.930034266 1561149.1595135,831573.62589834 1561144.73125502,831565.103993931 1561147.10392551,831560.623656968 1561151.49222101,831556.40871375 1561155.55725547,831548.178139529 1561147.53079193,831541.597000254 1561139.41874823,831534.080375846 1561144.41020375,831532.794420337 1561157.21457059,831611.06246193 1561233.31128706,831617.608591959 1561229.48171323,831622.515642302 1561204.88045144,831633.785488833 1561175.85994781)))",PC76495,TRUE
"MULTIPOLYGON (((831787.949603623 1560504.03432694,831815.458600854 1560572.40924833,831855.479967363 1560543.72978353,831823.216706763 1560484.76604735,831787.949603623 1560504.03432694)))",PC80114,TRUE
"MULTIPOLYGON (((831641.903885645 1560620.05106277,831649.330911012 1560618.0807469,831656.10332644 1560616.5780182,831662.370084831 1560613.92235899,831667.750828615 1560611.64841649,831673.358380231 1560609.39028669,831677.564632454 1560605.85676433,831681.266080812 1560601.38629504,831679.593425136 1560587.99721296,831671.005661305 1560568.08960779,831659.496686486 1560563.30079845,831657.088669205 1560557.58013097,831659.237767914 1560551.26555446,831661.753793218 1560546.37167674,831657.652351795 1560541.19750143,831653.750451991 1560537.43065212,831651.962690326 1560538.57022816,831647.548173678 1560541.3552044,831642.582801902 1560545.75932314,831638.107575361 1560551.12234799,831631.314436739 1560551.58736361,831623.776936351 1560548.9064908,831617.660430934 1560546.96210696,831614.659153091 1560550.5151491,831608.944845919 1560553.49734965,831601.984560822 1560555.45351049,831600.228500023 1560555.82186735,831602.751646796 1560560.45120251,831605.497564906 1560567.6142208,831607.202062777 1560574.77470833,831609.496390877 1560582.4376495,831609.7355962 1560585.78194796,831614.321309313 1560580.64918595,831621.303053323 1560581.60065259,831622.095404098 1560588.80094685,831620.215071949 1560593.98921481,831621.794543577 1560600.51676246,831622.906272916 1560607.13422393,831625.196649643 1560613.71724667,831627.359318027 1560611.74082407,831632.001995034 1560607.89911615,831637.430596032 1560610.5082462,831640.096188283 1560614.576477,831641.903885645 1560620.05106277)))",PC80113,TRUE
"MULTIPOLYGON (((831724.622876947 1561214.61912292,831758.730267801 1561207.26458313,831761.020845578 1561204.54003367,831757.317489292 1561188.32896716,831755.668999361 1561184.44202222,831763.566217814 1561157.78108453,831763.762581064 1561150.03958622,831767.114284094 1561143.29628301,831773.060413353 1561132.41694047,831775.285212455 1561128.10993327,831735.652146336 1561120.95600348,831732.49144216 1561128.36993419,831729.646117269 1561140.30767998,831725.327271424 1561145.45452851,831719.304022393 1561148.92328887,831719.207477589 1561156.9684537,831723.597461551 1561162.83279453,831721.422947809 1561169.42532066,831722.009214832 1561183.16635715,831724.339171777 1561212.09349764,831724.622876947 1561214.61912292)))",PC76496,TRUE
"MULTIPOLYGON (((832418.141197547 1561432.87516782,832401.784731318 1561463.84623326,832408.836873006 1561475.08078031,832413.130091958 1561480.72472243,832417.541920231 1561483.37247779,832423.245583627 1561486.14781073,832428.573670677 1561487.33440108,832433.836969689 1561488.38358043,832437.461081003 1561484.87024907,832438.871785014 1561480.63469333,832440.318618954 1561474.25210923,832448.703788303 1561471.35951939,832453.879451347 1561479.66747726,832480.572021346 1561479.90095994,832486.065126999 1561459.4880062,832463.015507692 1561449.99092843,832454.125127451 1561443.58924675,832418.141197547 1561432.87516782)))",PC77300,TRUE
"MULTIPOLYGON (((827109.115076553 1560128.64292095,827097.968550251 1560097.44080559,827036.01298365 1560083.47981126,827047.962526226 1560143.96007727,827109.115076553 1560128.64292095)))",PC92508,TRUE
"MULTIPOLYGON (((827293.087610321 1560121.35277252,827365.964980428 1560126.23259579,827379.516624021 1560117.30249517,827384.922435965 1560113.59922536,827377.561047812 1560085.27646467,827362.00790913 1560092.86272213,827357.173022139 1560057.01919327,827286.375382083 1560075.59615234,827293.087610321 1560121.35277252)))",PC92504,TRUE
"MULTIPOLYGON (((827118.165836026 1560152.24584816,827093.375759239 1560196.60269721,827185.458019865 1560190.34781634,827208.985518713 1560148.03153509,827118.165836026 1560152.24584816)))",PC92507,TRUE
"MULTIPOLYGON (((827043.861776068 1560140.89857377,827034.125532095 1560084.03932494,826947.23530551 1560076.54173466,826927.077575762 1560127.56611115,826962.97868836 1560121.15811527,826966.268923749 1560140.01538289,826969.892317945 1560156.91842653,827043.861776068 1560140.89857377)))",PC92509,TRUE
"MULTIPOLYGON (((827273.914119379 1560472.05174484,827298.680083392 1560522.86727008,827328.409612221 1560514.04297898,827332.202145161 1560510.11778517,827333.196975005 1560488.05368181,827332.273779423 1560479.18279606,827318.884580703 1560444.6372857,827273.914119379 1560472.05174484)))",PC92530,TRUE
